Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
746,716,8,2017-01-01,2017-03-01
751,716,8,2017-01-01,2017-03-01
724,739,8,2017-01-01,2017-03-01
724,752,8,2017-01-01,2017-03-01
915,975,7,2017-01-01,2017-03-01
772,763,7,2017-01-01,2017-03-01
772,740,7,2017-01-01,2017-03-01
915,930,7,2017-01-01,2017-03-01
751,1095,7,2017-01-01,2017-03-01
324,328,7,2017-01-01,2017-03-01
724,740,7,2017-01-01,2017-03-01
712,749,7,2017-01-01,2017-03-01
772,716,7,2017-01-01,2017-03-01
746,701,7,2017-01-01,2017-03-01
724,716,7,2017-01-01,2017-03-01
1053,1001,7,2017-01-01,2017-03-01
3104,255,7,2017-01-01,2017-03-01
724,701,7,2017-01-01,2017-03-01
750,749,7,2017-01-01,2017-03-01
760,716,7,2017-01-01,2017-03-01
1056,366,7,2017-01-01,2017-03-01
1314,1337,7,2017-01-01,2017-03-01
724,364,7,2017-01-01,2017-03-01
758,749,7,2017-01-01,2017-03-01
360,362,7,2017-01-01,2017-03-01
1056,1095,7,2017-01-01,2017-03-01
772,752,7,2017-01-01,2017-03-01
1056,759,7,2017-01-01,2017-03-01
724,760,7,2017-01-01,2017-03-01
746,739,7,2017-01-01,2017-03-01
704,716,6,2017-01-01,2017-03-01
360,355,6,2017-01-01,2017-03-01
731,774,6,2017-01-01,2017-03-01
759,716,6,2017-01-01,2017-03-01
3447,3446,6,2017-01-01,2017-03-01
2867,2789,6,2017-01-01,2017-03-01
2857,2816,6,2017-01-01,2017-03-01
2783,1696,6,2017-01-01,2017-03-01
772,760,6,2017-01-01,2017-03-01
2959,2939,6,2017-01-01,2017-03-01
1073,376,6,2017-01-01,2017-03-01
772,1095,6,2017-01-01,2017-03-01
324,761,6,2017-01-01,2017-03-01
2699,1014,6,2017-01-01,2017-03-01
724,763,6,2017-01-01,2017-03-01
709,706,6,2017-01-01,2017-03-01
3681,3698,6,2017-01-01,2017-03-01
4025,4044,6,2017-01-01,2017-03-01
650,299,6,2017-01-01,2017-03-01
2458,2437,6,2017-01-01,2017-03-01
4042,4080,6,2017-01-01,2017-03-01
751,366,6,2017-01-01,2017-03-01
746,1001,6,2017-01-01,2017-03-01
1026,749,6,2017-01-01,2017-03-01
2941,1337,6,2017-01-01,2017-03-01
1001,716,6,2017-01-01,2017-03-01
1013,764,6,2017-01-01,2017-03-01
2969,1337,6,2017-01-01,2017-03-01
701,716,6,2017-01-01,2017-03-01
2531,2600,6,2017-01-01,2017-03-01
768,791,6,2017-01-01,2017-03-01
2223,2295,6,2017-01-01,2017-03-01
610,255,6,2017-01-01,2017-03-01
2467,2437,6,2017-01-01,2017-03-01
755,1095,6,2017-01-01,2017-03-01
660,692,6,2017-01-01,2017-03-01
4017,4044,6,2017-01-01,2017-03-01
4316,4395,6,2017-01-01,2017-03-01
392,362,6,2017-01-01,2017-03-01
774,749,6,2017-01-01,2017-03-01
1056,1023,6,2017-01-01,2017-03-01
763,716,6,2017-01-01,2017-03-01
3104,3162,6,2017-01-01,2017-03-01
755,716,6,2017-01-01,2017-03-01
724,772,6,2017-01-01,2017-03-01
4017,4011,6,2017-01-01,2017-03-01
795,749,6,2017-01-01,2017-03-01
755,763,6,2017-01-01,2017-03-01
3104,3180,6,2017-01-01,2017-03-01
3123,299,6,2017-01-01,2017-03-01
2278,2244,6,2017-01-01,2017-03-01
364,366,6,2017-01-01,2017-03-01
1073,1002,6,2017-01-01,2017-03-01
3123,215,6,2017-01-01,2017-03-01
3104,2573,6,2017-01-01,2017-03-01
724,1095,6,2017-01-01,2017-03-01
4025,4083,6,2017-01-01,2017-03-01
724,746,6,2017-01-01,2017-03-01
731,749,6,2017-01-01,2017-03-01
4025,4080,6,2017-01-01,2017-03-01
746,764,6,2017-01-01,2017-03-01
2867,2816,6,2017-01-01,2017-03-01
751,701,6,2017-01-01,2017-03-01
4042,4013,6,2017-01-01,2017-03-01
3123,3104,6,2017-01-01,2017-03-01
731,719,6,2017-01-01,2017-03-01
385,313,6,2017-01-01,2017-03-01
724,1023,6,2017-01-01,2017-03-01
751,763,6,2017-01-01,2017-03-01
2233,2298,6,2017-01-01,2017-03-01
360,334,6,2017-01-01,2017-03-01
755,761,6,2017-01-01,2017-03-01
1056,1053,6,2017-01-01,2017-03-01
385,309,6,2017-01-01,2017-03-01
740,733,6,2017-01-01,2017-03-01
3104,2554,6,2017-01-01,2017-03-01
751,771,6,2017-01-01,2017-03-01
1947,1984,6,2017-01-01,2017-03-01
3123,3180,6,2017-01-01,2017-03-01
755,733,6,2017-01-01,2017-03-01
746,752,6,2017-01-01,2017-03-01
755,771,6,2017-01-01,2017-03-01
709,739,6,2017-01-01,2017-03-01
746,1023,6,2017-01-01,2017-03-01
724,1001,6,2017-01-01,2017-03-01
915,2959,6,2017-01-01,2017-03-01
772,759,6,2017-01-01,2017-03-01
324,362,6,2017-01-01,2017-03-01
4025,4013,6,2017-01-01,2017-03-01
1013,1053,6,2017-01-01,2017-03-01
3104,248,6,2017-01-01,2017-03-01
364,1095,6,2017-01-01,2017-03-01
915,2939,6,2017-01-01,2017-03-01
368,716,6,2017-01-01,2017-03-01
392,355,6,2017-01-01,2017-03-01
2674,2667,6,2017-01-01,2017-03-01
746,1095,6,2017-01-01,2017-03-01
759,366,6,2017-01-01,2017-03-01
755,366,6,2017-01-01,2017-03-01
915,1337,6,2017-01-01,2017-03-01
4025,4011,6,2017-01-01,2017-03-01
1053,716,6,2017-01-01,2017-03-01
751,733,6,2017-01-01,2017-03-01
1013,1031,6,2017-01-01,2017-03-01
1025,1026,6,2017-01-01,2017-03-01
3123,255,6,2017-01-01,2017-03-01
712,795,6,2017-01-01,2017-03-01
740,1095,6,2017-01-01,2017-03-01
733,739,6,2017-01-01,2017-03-01
709,752,6,2017-01-01,2017-03-01
2674,1576,6,2017-01-01,2017-03-01
2655,1576,6,2017-01-01,2017-03-01
1056,752,6,2017-01-01,2017-03-01
4309,4395,6,2017-01-01,2017-03-01
4042,4012,6,2017-01-01,2017-03-01
1056,1057,6,2017-01-01,2017-03-01
4025,4012,6,2017-01-01,2017-03-01
915,928,6,2017-01-01,2017-03-01
746,1053,6,2017-01-01,2017-03-01
1056,1001,6,2017-01-01,2017-03-01
746,760,6,2017-01-01,2017-03-01
755,759,6,2017-01-01,2017-03-01
740,716,6,2017-01-01,2017-03-01
