Passenger 1 ID,Passenger 2 ID,Number of flights together
752,366,9
9252,7877,9
4541,7162,9
701,760,9
4441,2550,9
7866,7872,9
391,1662,9
5494,5500,9
4827,1673,9
1371,975,9
7747,9522,9
5494,5491,9
1666,1696,9
5954,5720,8
5490,2939,8
915,975,8
3590,3503,8
4395,2939,8
11853,11808,8
6113,8679,8
746,716,8
2959,2939,8
915,930,8
8679,9522,8
746,1001,8
5111,5101,8
5423,3278,8
8289,8353,8
5978,5912,8
92,3802,8
382,4451,8
9369,7902,8
701,1095,8
928,975,8
7636,4404,8
2867,1337,8
751,716,8
928,1337,8
760,1095,8
3021,3090,8
701,763,8
5481,5491,8
4373,2759,8
5522,1715,8
1484,1337,8
724,739,8
2911,794,8
3021,9522,8
2697,2681,8
2068,7810,8
2783,1818,8
746,1023,8
11296,75,8
477,3120,8
1447,2550,8
7318,8297,8
5440,5500,8
1677,7605,8
724,752,8
1666,1464,8
5443,4316,8
205,255,8
4990,4969,8
13620,11099,7
4285,1651,7
1677,5482,7
1208,6813,7
731,774,7
5978,5997,7
2783,1482,7
7209,10798,7
5416,4235,7
2857,2816,7
4395,4399,7
9649,9696,7
772,763,7
4025,2511,7
4249,3590,7
11296,6777,7
4373,4674,7
2783,1696,7
772,740,7
4025,4399,7
6012,6070,7
9954,9988,7
5724,5761,7
8590,5867,7
12323,7721,7
4850,2960,7
4990,1884,7
4611,4665,7
8084,4147,7
11101,11143,7
4774,6166,7
2929,2913,7
4249,10373,7
3090,9522,7
3590,6813,7
2511,1484,7
859,10478,7
10394,10083,7
2488,419,7
6560,8260,7
1046,4552,7
4170,2201,7
5795,2886,7
244,289,7
4025,4044,7
6294,5590,7
772,1001,7
751,1095,7
1766,2905,7
1026,749,7
360,1029,7
10716,10701,7
1378,2489,7
311,1850,7
12323,10067,7
9068,7373,7
4650,3029,7
8596,9522,7
2117,7579,7
739,366,7
324,328,7
724,740,7
2969,1337,7
6885,6824,7
752,374,7
4053,2511,7
479,6113,7
2336,1849,7
6560,8262,7
5490,2886,7
5467,5420,7
4017,4044,7
4316,4395,7
751,749,7
4016,2941,7
4339,4083,7
4917,10022,7
4339,4011,7
7605,8353,7
712,749,7
9127,9118,7
275,274,7
382,7560,7
1351,1377,7
2588,5101,7
1146,1160,7
5423,8158,7
1562,1678,7
5494,5443,7
4017,4011,7
4034,7209,7
2556,1272,7
4009,4083,7
1548,4641,7
772,716,7
2867,4399,7
10371,10396,7
5423,7039,7
746,701,7
1023,1001,7
724,716,7
3361,1966,7
928,1484,7
928,4399,7
1073,1002,7
1053,1001,7
624,226,7
7866,7820,7
8562,8584,7
11307,1466,7
2258,3513,7
1208,3093,7
5724,5769,7
4025,4083,7
7560,4451,7
2182,2137,7
3421,1053,7
9258,10350,7
3104,255,7
733,366,7
9752,2097,7
4025,4080,7
2294,4969,7
8562,9522,7
1624,2975,7
4082,1651,7
5481,4316,7
6707,3590,7
746,772,7
8202,8232,7
4009,4399,7
9057,9069,7
6447,6418,7
751,701,7
928,2511,7
4034,191,7
4674,4607,7
8093,8073,7
724,701,7
364,381,7
2556,2501,7
4316,5491,7
751,763,7
10017,10083,7
8596,6447,7
4449,9619,7
9063,7507,7
7866,3503,7
2776,5411,7
750,749,7
915,1314,7
2759,5491,7
1484,975,7
2959,975,7
4025,4316,7
4066,4011,7
10541,10576,7
3472,2401,7
4025,975,7
4053,4395,7
5798,5744,7
12323,9540,7
10719,4451,7
4523,5434,7
4249,6813,7
5055,6013,7
6447,3590,7
2717,4399,7
3588,3580,7
3153,3356,7
11280,9127,7
2959,2969,7
2959,407,7
760,716,7
10017,10037,7
3477,732,7
4774,10799,7
4025,4395,7
2294,5491,7
11007,4364,7
5867,7379,7
4200,6205,7
915,2959,7
7685,7605,7
1056,366,7
5467,3937,7
3575,3507,7
2527,1532,7
4025,4013,7
2959,1337,7
4737,9421,7
915,2939,7
915,1482,7
368,362,7
5081,9539,7
14060,14018,7
1314,1337,7
7082,7039,7
2685,4972,7
6813,3503,7
5711,5755,7
4009,4339,7
724,364,7
4373,2717,7
6848,6884,7
6016,6069,7
4025,4011,7
1053,716,7
4650,2701,7
4388,4395,7
2969,2939,7
758,749,7
2441,2223,7
360,362,7
1025,1026,7
11687,11649,7
1058,1085,7
2068,10509,7
3421,3477,7
760,763,7
4384,756,7
2717,2759,7
1498,2728,7
4080,4011,7
479,2201,7
2857,2776,7
4309,4395,7
5423,5411,7
11280,5748,7
8596,2201,7
1056,1095,7
913,961,7
2759,2717,7
4025,4012,7
5380,13731,7
772,752,7
293,1287,7
7866,3590,7
4713,6317,7
5494,5481,7
247,3188,7
288,1678,7
915,928,7
2926,3590,7
479,9522,7
1056,759,7
816,866,7
2588,12323,7
8158,5668,7
479,7747,7
5946,5792,7
2068,9069,7
12338,12323,7
751,760,7
1607,1858,7
724,760,7
1244,732,7
5481,5500,7
746,739,7
1562,8579,7
4373,4339,6
6860,6879,6
2773,4412,6
170,813,6
1464,1696,6
704,716,6
3184,2596,6
360,355,6
9985,9904,6
10767,10762,6
2773,2759,6
9742,3466,6
456,10762,6
7866,5509,6
356,7721,6
5911,2886,6
4674,4614,6
1138,9659,6
